VALUE,COUNT
-117,31
-116,11
-115,9
-114,5
-113,2
-112,1
-111,47
-110,26
-109,8
-108,9
-107,5
-106,6
-105,6
-104,5
-103,5
-102,8
-101,7
-100,7
-99,3
-98,21
-97,10
-96,14
-95,12
-94,10
-93,10
-92,9
-91,11
-90,6
-89,7
-88,44
-87,11
-86,49
-85,36017
-84,56395
-83,90124
-82,64834
-81,55366
-80,70635
-79,31535
-78,32111
-77,28850
-76,17076
-75,24316
-74,16987
-73,11299
-72,12428
-71,10373
-70,1045154
-69,59458
-68,59049
-67,47304
-66,48575
-65,47448
-64,44996
-63,45691
-62,42785
-61,43721
-60,49751
-59,44001
-58,37953
-57,42367
-56,39093
-55,36244
-54,43047
-53,40812
-52,41220
-51,47328
-50,43986
-49,40934
-48,47011
-47,43075
-46,44423
-45,49194
-44,46492
-43,44364
-42,52588
-41,71938
-40,63813
-39,62105
-38,51283
-37,53497
-36,58310
-35,52615
-34,54168
-33,55846
-32,49524
-31,52817
-30,56271
-29,48761
-28,51610
-27,55705
-26,51694
-25,53535
-24,56584
-23,58481
-22,57176
-21,57482
-20,62130
-19,62114
-18,62354
-17,74757
-16,76858
-15,71388
-14,85253
-13,83738
-12,95416
-11,120139
-10,85011
-9,82922
-8,91499
-7,83796
-6,130886
-5,236215
-4,274208
-3,338744
-2,1427624
-1,12325347
0,193521295
1,35344236
2,26283681
3,26832218
4,22822012
5,19979614
6,19313426
7,17635067
8,15883769
9,15096194
10,15798385
11,13344581
12,13759811
13,12991983
14,12537098
15,12403600
16,12175896
17,12395767
18,12946428
19,12989164
20,14373327
21,13035727
22,12245187
23,12204793
24,12295576
25,11495163
26,11254859
27,11696114
28,11617279
29,11464635
30,11661058
31,10562060
32,10157931
33,10441524
34,10197145
35,10332079
36,10858177
37,10878011
38,10077825
39,10463551
40,11257208
41,10050310
42,9986748
43,10025847
44,9697202
45,9979412
46,9539657
47,9380994
48,9292360
49,10126530
50,10117340
51,9486960
52,9860009
53,9239760
54,9330728
55,9865317
56,9755180
57,9634434
58,10181411
59,9747542
60,10760894
61,10284967
62,9898477
63,9933735
64,10230285
65,9963847
66,10018751
67,10185941
68,10036482
69,9948244
70,10782158
71,9771711
72,9652320
73,10075647
74,11086542
75,30447965
76,10367011
77,9852669
78,9717731
79,10495806
80,11005041
81,9792281
82,9836587
83,9601891
84,9650615
85,10154873
86,9797729
87,9536877
88,9892747
89,10057140
90,10620551
91,9940111
92,9811051
93,9470238
94,9646642
95,9792848
96,9436586
97,9626414
98,9922928
99,9471802
100,10686734
101,9363718
102,8983515
103,9431783
104,9587319
105,9306198
106,9115042
107,9602077
108,9560679
109,9391562
110,10499541
111,8981101
112,8905843
113,9350224
114,8930101
115,9381423
116,10027072
117,9390007
118,9200028
119,9578685
120,10503827
121,9033770
122,9301511
123,9274466
124,8971623
125,9559097
